,Player,2019/20,2019/20(*)
1,Stephen Curry,"$40,231,758","$40,231,758"
2,Russell Westbrook,"$38,506,482","$38,506,482"
2,Chris Paul,"$38,506,482","$38,506,482"
4,James Harden,"$38,199,000","$38,199,000"
4,John Wall,"$38,199,000","$38,199,000"
6,LeBron James,"$37,436,858","$37,436,858"
7,Kevin Durant,"$37,199,000","$37,199,000"
8,Blake Griffin,"$34,449,964","$34,449,964"
9,Kyle Lowry,"$33,296,296","$33,296,296"
10,Paul George,"$33,005,556","$33,005,556"
11,Kemba Walker,"$32,742,000","$32,742,000"
11,Klay Thompson,"$32,742,000","$32,742,000"
11,Kawhi Leonard,"$32,742,000","$32,742,000"
11,Jimmy Butler,"$32,742,000","$32,742,000"
11,Tobias Harris,"$32,742,000","$32,742,000"
16,Gordon Hayward,"$32,700,690","$32,700,690"
17,Mike Conley,"$32,511,623","$32,511,623"
18,Kyrie Irving,"$31,742,000","$31,742,000"
19,Khris Middleton,"$30,603,448","$30,603,448"
20,Paul Millsap,"$30,350,000","$30,350,000"
21,Damian Lillard,"$29,802,321","$29,802,321"
22,Kevin Love,"$28,942,830","$28,942,830"
23,Nikola Vucevic,"$28,000,000","$28,000,000"
23,Al Horford,"$28,000,000","$28,000,000"
25,DeMar DeRozan,"$27,739,975","$27,739,975"
26,CJ McCollum,"$27,556,959","$27,556,959"
27,Nikola Jokic,"$27,504,630","$27,504,630"
27,Andrew Wiggins,"$27,504,630","$27,504,630"
27,Joel Embiid,"$27,504,630","$27,504,630"
30,Kristaps Porzingis,"$27,285,000","$27,285,000"
30,D'Angelo Russell,"$27,285,000","$27,285,000"
30,Karl-Anthony Towns,"$27,285,000","$27,285,000"
30,Devin Booker,"$27,285,000","$27,285,000"
34,Otto Porter,"$27,250,576","$27,250,576"
35,Anthony Davis,"$27,093,019","$27,093,019"
36,Andre Drummond,"$27,093,018","$27,093,018"
36,Hassan Whiteside,"$27,093,018","$27,093,018"
36,Bradley Beal,"$27,093,018","$27,093,018"
39,Jrue Holiday,"$26,131,111","$26,131,111"
40,LaMarcus Aldridge,"$26,000,000","$26,000,000"
41,Giannis Antetokounmpo,"$25,842,697","$25,842,697"
41,Steven Adams,"$25,842,697","$25,842,697"
43,Marc Gasol,"$25,595,700","$25,595,700"
44,Nicolas Batum,"$25,565,217","$25,565,217"
45,Rudy Gobert,"$25,258,427","$25,258,427"
46,Harrison Barnes,"$24,147,727","$24,147,727"
47,Serge Ibaka,"$23,271,604","$23,271,604"
48,Danilo Gallinari,"$22,615,559","$22,615,559"
49,Victor Oladipo,"$21,000,000","$21,000,000"
50,Tim Hardaway Jr,"$20,025,127","$20,025,127"
51,Malcolm Brogdon,"$20,000,000","$20,000,000"
52,Terry Rozier,"$19,894,737","$19,894,737"
53,Aaron Gordon,"$19,863,636","$19,863,636"
54,Zach LaVine,"$19,500,000","$19,500,000"
55,Kent Bazemore,"$19,269,663","$19,269,663"
56,Goran Dragic,"$19,217,900","$19,217,900"
57,Jeff Teague,"$19,000,000","$19,000,000"
58,Evan Turner,"$18,606,556","$18,606,556"
59,Tristan Thompson,"$18,539,130","$18,539,130"
59,Draymond Green,"$18,539,130","$18,539,130"
61,Gary Harris,"$18,189,286","$18,189,286"
62,Myles Turner,"$18,000,000","$18,000,000"
62,Julius Randle,"$18,000,000","$18,000,000"
64,Derrick Favors,"$17,650,000","$17,650,000"
65,Andre Iguodala,"$17,185,185","$17,185,185"
66,Evan Fournier,"$17,150,000","$17,150,000"
67,Bismack Biyombo,"$17,000,000","$17,000,000"
67,Bojan Bogdanovic,"$17,000,000","$17,000,000"
69,Clint Capela,"$16,896,552","$16,896,552"
70,Gorgui Dieng,"$16,229,213","$16,229,213"
71,Ricky Rubio,"$16,200,000","$16,200,000"
72,Jonas Valanciunas,"$16,000,000","$16,000,000"
73,Brandon Knight,"$15,643,750","$15,643,750"
74,Eric Bledsoe,"$15,625,000","$15,625,000"
74,Kelly Oubre,"$15,625,000","$15,625,000"
76,Dennis Schroeder,"$15,500,000","$15,500,000"
77,Ian Mahinmi,"$15,450,051","$15,450,051"
78,James Johnson,"$15,349,400","$15,349,400"
79,Marcus Morris,"$15,000,000","$15,000,000"
79,Bobby Portis,"$15,000,000","$15,000,000"
81,Danny Green,"$14,634,147","$14,634,147"
82,Rudy Gay,"$14,500,000","$14,500,000"
83,Cody Zeller,"$14,471,910","$14,471,910"
84,Eric Gordon,"$14,057,730","$14,057,730"
85,Mason Plumlee,"$14,041,096","$14,041,096"
86,JJ Redick,"$13,486,300","$13,486,300"
87,Jordan Clarkson,"$13,437,500","$13,437,500"
88,Dewayne Dedmon,"$13,333,334","$13,333,334"
89,Solomon Hill,"$13,290,395","$13,290,395"
90,Justise Winslow,"$13,000,000","$13,000,000"
91,Thaddeus Young,"$12,900,000","$12,900,000"
92,Will Barton,"$12,776,786","$12,776,786"
93,Courtney Lee,"$12,759,670","$12,759,670"
94,Larry Nance Jr,"$12,727,273","$12,727,273"
95,Patrick Mills,"$12,678,571","$12,678,571"
96,Kelly Olynyk,"$12,667,885","$12,667,885"
97,Marcus Smart,"$12,553,571","$12,553,571"
98,Terrence Ross,"$12,500,000","$12,500,000"
99,Patrick Beverley,"$12,345,680","$12,345,680"
100,Trevor Ariza,"$12,200,000","$12,200,000"
101,Brook Lopez,"$12,093,024","$12,093,024"
102,Jusuf Nurkic,"$12,000,000","$12,000,000"
